CID,P1,P2,Included
C001,ICE29,ICE63,1
C002,ICE29,ICE72,1
C003,ICE29,ICE79,1
C004,ICE29,ICE92,1
C005,ICE29,ICE107,1
C006,ICE29,ICE150,1
C007,ICE29,ICE212,1
C008,ICE29,Bak-2,1
C009,ICE29,Cdm-0,1
C010,ICE29,Ey15-2,1
C011,ICE29,HKT2.4,1
C012,ICE29,Mer-6,1
C013,ICE29,Nie1-2,1
C014,ICE29,Qui-0,1
C015,ICE29,Sha,1
C016,ICE29,Tuescha-9,1
C017,ICE29,TueWa1-2,1
C018,ICE50,ICE29,1
C019,ICE50,ICE61,1
C020,ICE50,ICE73,1
C021,ICE50,ICE79,1
C022,ICE50,ICE119,1
C023,ICE50,ICE150,1
C024,ICE50,ICE181,1
C025,ICE50,ICE212,1
C026,ICE50,ICE216,1
C027,ICE50,ICE228,1
C028,ICE50,Bak-2,1
C029,ICE50,Ey15-2,1
C030,ICE50,Fei-0,1
C031,ICE50,Mer-6,1
C032,ICE50,Nie1-2,1
C033,ICE50,Qui-0,1
C034,ICE50,Sha,1
C035,ICE50,Yeg-1,1
C036,ICE61,ICE29,1
C037,ICE61,ICE72,1
C038,ICE61,ICE92,1
C039,ICE61,ICE107,1
C040,ICE61,ICE119,1
C041,ICE61,ICE150,1
C042,ICE61,ICE228,0
C043,ICE61,Bak-2,1
C044,ICE61,Cdm-0,1
C045,ICE61,Ey15-2,1
C046,ICE61,Koch-1,1
C047,ICE61,Mer-6,1
C048,ICE61,Qui-0,1
C049,ICE61,Rue3-1-31,1
C050,ICE61,Tuescha-9,1
C051,ICE61,TueWa1-2,1
C052,ICE61,Yeg-1,1
C053,ICE63,ICE50,1
C054,ICE63,ICE61,1
C055,ICE63,ICE72,1
C056,ICE63,ICE73,1
C057,ICE63,ICE79,1
C058,ICE63,ICE107,1
C059,ICE63,ICE111,1
C060,ICE63,ICE212,1
C061,ICE63,Ey15-2,1
C062,ICE63,Fei-0,1
C063,ICE63,HKT2.4,1
C064,ICE63,Rue3-1-31,1
C065,ICE63,Sha,1
C066,ICE63,Tuescha-9,1
C067,ICE63,Yeg-1,1
C068,ICE72,ICE50,1
C069,ICE72,ICE73,1
C070,ICE72,ICE150,1
C071,ICE72,ICE212,1
C072,ICE72,ICE216,1
C073,ICE72,Bak-2,1
C074,ICE72,Cdm-0,1
C075,ICE72,Ey15-2,1
C076,ICE72,Fei-0,1
C077,ICE72,HKT2.4,1
C078,ICE72,Koch-1,1
C079,ICE72,Nie1-2,1
C080,ICE72,Qui-0,1
C081,ICE72,Tuescha-9,1
C082,ICE72,Yeg-1,1
C083,ICE73,ICE29,1
C084,ICE73,ICE61,1
C085,ICE73,ICE107,1
C086,ICE73,ICE111,1
C087,ICE73,ICE119,1
C088,ICE73,ICE181,1
C089,ICE73,ICE216,1
C090,ICE73,ICE228,1
C091,ICE73,Bak-2,1
C092,ICE73,Cdm-0,1
C093,ICE73,Ey15-2,1
C094,ICE73,HKT2.4,1
C095,ICE73,Koch-1,1
C096,ICE73,Mer-6,1
C097,ICE73,Nie1-2,1
C098,ICE73,Qui-0,1
C099,ICE73,Rue3-1-31,1
C100,ICE79,ICE61,1
C101,ICE79,ICE72,1
C102,ICE79,ICE73,1
C103,ICE79,ICE92,1
C104,ICE79,ICE107,1
C105,ICE79,ICE111,1
C106,ICE79,Bak-2,1
C107,ICE79,HKT2.4,1
C108,ICE79,Koch-1,1
C109,ICE79,Mer-6,1
C110,ICE79,Qui-0,1
C111,ICE79,Rue3-1-31,1
C112,ICE79,Tuescha-9,1
C113,ICE79,TueWa1-2,1
C114,ICE92,ICE50,1
C115,ICE92,ICE63,1
C116,ICE92,ICE72,1
C117,ICE92,ICE73,1
C118,ICE92,ICE107,1
C119,ICE92,ICE212,1
C120,ICE92,ICE216,1
C121,ICE92,ICE228,1
C122,ICE92,Bak-2,1
C123,ICE92,Cdm-0,1
C124,ICE92,HKT2.4,1
C125,ICE92,Mer-6,1
C126,ICE92,Qui-0,1
C127,ICE92,Sha,1
C128,ICE107,ICE50,1
C129,ICE107,ICE72,1
C130,ICE107,ICE111,1
C131,ICE107,ICE119,1
C132,ICE107,ICE150,1
C133,ICE107,ICE216,1
C134,ICE107,ICE228,1
C135,ICE107,Bak-2,1
C136,ICE107,Cdm-0,1
C137,ICE107,Ey15-2,1
C138,ICE107,HKT2.4,1
C139,ICE107,Qui-0,1
C140,ICE107,Rue3-1-31,1
C141,ICE107,Sha,1
C142,ICE107,Yeg-1,1
C143,ICE111,ICE29,1
C144,ICE111,ICE50,1
C145,ICE111,ICE61,1
C146,ICE111,ICE72,1
C147,ICE111,ICE92,1
C148,ICE111,ICE119,1
C149,ICE111,ICE150,1
C150,ICE111,Bak-2,1
C151,ICE111,Cdm-0,1
C152,ICE111,HKT2.4,1
C153,ICE111,Koch-1,1
C154,ICE111,Qui-0,1
C155,ICE119,ICE29,1
C156,ICE119,ICE63,1
C157,ICE119,ICE72,1
C158,ICE119,ICE79,1
C159,ICE119,ICE92,1
C160,ICE119,ICE150,1
C161,ICE119,Fei-0,1
C162,ICE119,HKT2.4,1
C163,ICE119,Koch-1,1
C164,ICE119,Mer-6,1
C165,ICE119,Nie1-2,1
C166,ICE119,Qui-0,1
C167,ICE119,Tuescha-9,1
C168,ICE119,TueWa1-2,1
C169,ICE119,Yeg-1,1
C170,ICE150,ICE63,1
C171,ICE150,ICE73,1
C172,ICE150,ICE79,1
C173,ICE150,ICE92,1
C174,ICE150,ICE181,1
C175,ICE150,ICE212,1
C176,ICE150,ICE228,1
C177,ICE150,Bak-2,1
C178,ICE150,Ey15-2,1
C179,ICE150,Koch-1,1
C180,ICE150,Nie1-2,1
C181,ICE150,Qui-0,1
C182,ICE150,Sha,1
C183,ICE150,Tuescha-9,1
C184,ICE181,ICE29,1
C185,ICE181,ICE61,1
C186,ICE181,ICE63,1
C187,ICE181,ICE72,1
C188,ICE181,ICE79,1
C189,ICE181,ICE92,1
C190,ICE181,ICE107,1
C191,ICE181,ICE111,1
C192,ICE181,ICE119,1
C193,ICE181,ICE216,1
C194,ICE181,Bak-2,1
C195,ICE181,Ey15-2,1
C196,ICE181,HKT2.4,1
C197,ICE181,Nie1-2,1
C198,ICE181,Rue3-1-31,1
C199,ICE212,ICE61,1
C200,ICE212,ICE73,1
C201,ICE212,ICE79,1
C202,ICE212,ICE107,1
C203,ICE212,ICE111,1
C204,ICE212,ICE119,1
C205,ICE212,ICE181,1
C206,ICE212,ICE216,1
C207,ICE212,Cdm-0,1
C208,ICE212,Ey15-2,1
C209,ICE212,Mer-6,1
C210,ICE212,Rue3-1-31,1
C211,ICE212,TueWa1-2,0
C212,ICE216,ICE29,1
C213,ICE216,ICE61,1
C214,ICE216,ICE63,1
C215,ICE216,ICE79,1
C216,ICE216,ICE111,1
C217,ICE216,ICE119,1
C218,ICE216,ICE150,1
C219,ICE216,ICE228,1
C220,ICE216,Bak-2,1
C221,ICE216,Ey15-2,1
C222,ICE216,HKT2.4,1
C223,ICE216,Nie1-2,1
C224,ICE216,Qui-0,1
C225,ICE216,Rue3-1-31,1
C226,ICE216,Yeg-1,1
C227,ICE228,ICE29,1
C228,ICE228,ICE63,1
C229,ICE228,ICE72,1
C230,ICE228,ICE79,1
C231,ICE228,ICE111,1
C232,ICE228,ICE119,1
C233,ICE228,ICE181,1
C234,ICE228,ICE212,1
C235,ICE228,Bak-2,1
C236,ICE228,Cdm-0,1
C237,ICE228,Koch-1,1
C238,ICE228,Rue3-1-31,1
C239,ICE228,Sha,1
C240,ICE228,TueWa1-2,1
C241,ICE228,Yeg-1,1
C242,Bak-2,ICE63,1
C243,Bak-2,ICE119,1
C244,Bak-2,ICE212,1
C245,Bak-2,Cdm-0,1
C246,Bak-2,Ey15-2,1
C247,Bak-2,Fei-0,1
C248,Bak-2,Mer-6,1
C249,Bak-2,Nie1-2,1
C250,Bak-2,Qui-0,1
C251,Bak-2,TueWa1-2,1
C252,Bak-2,Yeg-1,1
C253,Cdm-0,ICE50,1
C254,Cdm-0,ICE63,1
C255,Cdm-0,ICE79,1
C256,Cdm-0,ICE119,1
C257,Cdm-0,ICE150,1
C258,Cdm-0,ICE181,1
C259,Cdm-0,ICE216,1
C260,Cdm-0,Ey15-2,1
C261,Cdm-0,Koch-1,1
C262,Cdm-0,Mer-6,1
C263,Cdm-0,Rue3-1-31,1
C264,Cdm-0,Sha,1
C265,Cdm-0,TueWa1-2,1
C266,Cdm-0,Yeg-1,0
C267,Ey15-2,ICE79,1
C268,Ey15-2,ICE92,1
C269,Ey15-2,ICE111,1
C270,Ey15-2,ICE119,1
C271,Ey15-2,ICE228,1
C272,Ey15-2,Fei-0,1
C273,Ey15-2,Mer-6,1
C274,Ey15-2,Nie1-2,1
C275,Ey15-2,Qui-0,1
C276,Ey15-2,Rue3-1-31,1
C277,Ey15-2,Tuescha-9,1
C278,Ey15-2,TueWa1-2,1
C279,Ey15-2,Yeg-1,1
C280,Fei-0,ICE29,1
C281,Fei-0,ICE61,1
C282,Fei-0,ICE73,1
C283,Fei-0,ICE79,1
C284,Fei-0,ICE92,1
C285,Fei-0,ICE107,1
C286,Fei-0,ICE111,1
C287,Fei-0,ICE150,1
C288,Fei-0,ICE181,1
C289,Fei-0,ICE212,1
C290,Fei-0,ICE216,1
C291,Fei-0,ICE228,1
C292,Fei-0,Cdm-0,1
C293,Fei-0,TueWa1-2,1
C294,HKT2.4,ICE50,1
C295,HKT2.4,ICE61,1
C296,HKT2.4,ICE150,1
C297,HKT2.4,ICE212,1
C298,HKT2.4,ICE228,1
C299,HKT2.4,Bak-2,1
C300,HKT2.4,Cdm-0,1
C301,HKT2.4,Ey15-2,1
C302,HKT2.4,Fei-0,1
C303,HKT2.4,Koch-1,1
C304,HKT2.4,Rue3-1-31,1
C305,HKT2.4,TueWa1-2,1
C306,HKT2.4,Yeg-1,1
C307,Koch-1,ICE29,1
C308,Koch-1,ICE50,1
C309,Koch-1,ICE63,1
C310,Koch-1,ICE92,1
C311,Koch-1,ICE107,1
C312,Koch-1,ICE181,1
C313,Koch-1,ICE212,1
C314,Koch-1,ICE216,1
C315,Koch-1,Bak-2,1
C316,Koch-1,Ey15-2,1
C317,Koch-1,Fei-0,1
C318,Koch-1,Mer-6,1
C319,Koch-1,Sha,1
C320,Koch-1,Yeg-1,1
C321,Mer-6,ICE63,1
C322,Mer-6,ICE72,1
C323,Mer-6,ICE107,1
C324,Mer-6,ICE111,1
C325,Mer-6,ICE150,0
C326,Mer-6,ICE181,1
C327,Mer-6,ICE216,1
C328,Mer-6,ICE228,1
C329,Mer-6,Fei-0,1
C330,Mer-6,HKT2.4,1
C331,Mer-6,Qui-0,1
C332,Mer-6,Rue3-1-31,1
C333,Mer-6,Sha,1
C334,Nie1-2,ICE61,1
C335,Nie1-2,ICE63,1
C336,Nie1-2,ICE79,1
C337,Nie1-2,ICE92,1
C338,Nie1-2,ICE107,1
C339,Nie1-2,ICE111,1
C340,Nie1-2,ICE212,1
C341,Nie1-2,ICE228,1
C342,Nie1-2,Cdm-0,1
C343,Nie1-2,Fei-0,1
C344,Nie1-2,HKT2.4,1
C345,Nie1-2,Koch-1,1
C346,Nie1-2,Mer-6,1
C347,Nie1-2,Qui-0,1
C348,Nie1-2,Rue3-1-31,1
C349,Qui-0,ICE63,1
C350,Qui-0,ICE181,1
C351,Qui-0,ICE212,1
C352,Qui-0,ICE228,1
C353,Qui-0,Cdm-0,1
C354,Qui-0,Fei-0,1
C355,Qui-0,HKT2.4,1
C356,Qui-0,Koch-1,1
C357,Qui-0,Rue3-1-31,1
C358,Qui-0,Sha,1
C359,Qui-0,Tuescha-9,1
C360,Qui-0,TueWa1-2,1
C361,Qui-0,Yeg-1,1
C362,Rue3-1-31,ICE29,1
C363,Rue3-1-31,ICE50,1
C364,Rue3-1-31,ICE72,1
C365,Rue3-1-31,ICE92,1
C366,Rue3-1-31,ICE111,1
C367,Rue3-1-31,ICE119,1
C368,Rue3-1-31,ICE150,1
C369,Rue3-1-31,Bak-2,1
C370,Rue3-1-31,Fei-0,1
C371,Rue3-1-31,Koch-1,1
C372,Rue3-1-31,Sha,1
C373,Rue3-1-31,Tuescha-9,1
C374,Rue3-1-31,TueWa1-2,1
C375,Sha,ICE61,1
C376,Sha,ICE72,1
C377,Sha,ICE73,1
C378,Sha,ICE79,1
C379,Sha,ICE111,1
C380,Sha,ICE119,1
C381,Sha,ICE181,1
C382,Sha,ICE212,1
C383,Sha,ICE216,1
C384,Sha,Bak-2,1
C385,Sha,Ey15-2,1
C386,Sha,Fei-0,1
C387,Sha,HKT2.4,1
C388,Sha,Nie1-2,1
C389,Sha,TueWa1-2,0
C390,Tuescha-9,ICE50,1
C391,Tuescha-9,ICE73,1
C392,Tuescha-9,ICE92,1
C393,Tuescha-9,ICE107,1
C394,Tuescha-9,ICE111,1
C395,Tuescha-9,ICE181,1
C396,Tuescha-9,ICE212,1
C397,Tuescha-9,ICE216,1
C398,Tuescha-9,ICE228,1
C399,Tuescha-9,Bak-2,1
C400,Tuescha-9,Cdm-0,0
C401,Tuescha-9,Fei-0,1
C402,Tuescha-9,HKT2.4,1
C403,Tuescha-9,Koch-1,1
C404,Tuescha-9,Mer-6,1
C405,Tuescha-9,Nie1-2,1
C406,Tuescha-9,Sha,1
C407,TueWa1-2,ICE50,1
C408,TueWa1-2,ICE63,1
C409,TueWa1-2,ICE72,1
C410,TueWa1-2,ICE73,1
C411,TueWa1-2,ICE92,1
C412,TueWa1-2,ICE107,1
C413,TueWa1-2,ICE111,1
C414,TueWa1-2,ICE150,1
C415,TueWa1-2,ICE181,1
C416,TueWa1-2,ICE216,0
C417,TueWa1-2,Koch-1,1
C418,TueWa1-2,Mer-6,1
C419,TueWa1-2,Nie1-2,1
C420,TueWa1-2,Tuescha-9,1
C421,TueWa1-2,Yeg-1,1
C422,Yeg-1,ICE29,1
C423,Yeg-1,ICE73,1
C424,Yeg-1,ICE79,1
C425,Yeg-1,ICE92,1
C426,Yeg-1,ICE111,1
C427,Yeg-1,ICE150,1
C428,Yeg-1,ICE181,1
C429,Yeg-1,ICE212,1
C430,Yeg-1,Fei-0,1
C431,Yeg-1,Mer-6,1
C432,Yeg-1,Nie1-2,1
C433,Yeg-1,Rue3-1-31,1
C434,Yeg-1,Sha,1
C435,Yeg-1,Tuescha-9,1
PM001,ICE29,ICE29,1
PM002,ICE50,ICE50,1
PM003,ICE61,ICE61,0
PM004,ICE63,ICE63,1
PM005,ICE72,ICE72,1
PM006,ICE73,ICE73,1
PM007,ICE79,ICE79,1
PM008,ICE92,ICE92,1
PM009,ICE107,ICE107,1
PM010,ICE111,ICE111,1
PM011,ICE119,ICE119,1
PM012,ICE150,ICE150,1
PM013,ICE181,ICE181,1
PM014,ICE212,ICE212,1
PM015,ICE216,ICE216,1
PM016,ICE228,ICE228,1
PM017,Bak-2,Bak-2,0
PM018,Cdm-0,Cdm-0,1
PM019,Ey15-2,Ey15-2,1
PM020,Fei-0,Fei-0,1
PM021,HKT2.4,HKT2.4,1
PM022,Koch-1,Koch-1,1
PM023,Mer-6,Mer-6,1
PM024,Nie1-2,Nie1-2,1
PM025,Qui-0,Qui-0,1
PM026,Rue3-1-31,Rue3-1-31,1
PM027,Sha,Sha,1
PM028,Tuescha-9,Tuescha-9,1
PM029,TueWa1-2,TueWa1-2,1
PM030,Yeg-1,Yeg-1,1
PS001,ICE29,ICE29,1
PS002,ICE50,ICE50,1
PS003,ICE61,ICE61,1
PS004,ICE63,ICE63,1
PS005,ICE72,ICE72,1
PS006,ICE73,ICE73,1
PS007,ICE79,ICE79,1
PS008,ICE92,ICE92,1
PS009,ICE107,ICE107,1
PS010,ICE111,ICE111,1
PS011,ICE119,ICE119,1
PS012,ICE150,ICE150,1
PS013,ICE181,ICE181,1
PS014,ICE212,ICE212,1
PS015,ICE216,ICE216,1
PS016,ICE228,ICE228,1
PS017,Bak-2,Bak-2,1
PS018,Cdm-0,Cdm-0,1
PS019,Ey15-2,Ey15-2,1
PS020,Fei-0,Fei-0,1
PS021,HKT2.4,HKT2.4,1
PS022,Koch-1,Koch-1,1
PS023,Mer-6,Mer-6,1
PS024,Nie1-2,Nie1-2,1
PS025,Qui-0,Qui-0,1
PS026,Rue3-1-31,Rue3-1-31,1
PS027,Sha,Sha,1
PS028,Tuescha-9,Tuescha-9,1
PS029,TueWa1-2,TueWa1-2,1
PS030,Yeg-1,Yeg-1,1